cod_titulo,titulo,locacao,valor,qtde_tot,qtde_disp,cod_grupo,cod_estilo
500,"Casa de Samba","24",,1,1,7,47
501,"Não Quero Saber De Ti Ti Ti","24",,4,4,7,47
502,"No Compasso do Criador","24",,3,2,7,47
503,"Luz do Desejo","24",,2,2,7,47
504,"Jura de Amor","24",,1,1,7,47
505,"Futebol Clube","24",,3,1,7,47
506,"Romântico","24",,1,1,7,47
507,"A Baba do Pagode","24",,1,1,7,47
508,"Nova Manhã","24",,1,1,7,47
509,"O Quinto Segredo","24",,1,1,7,47
510,"Só Pra Contrariar Ao Vivo","24",,2,1,7,47
511,"O Samba Não Tem Fronteiras","24",,2,1,7,47
512,"Do Jeito Q'eu Gosto","24",,1,1,7,47
513,"Da Melhor Qualidade","24",,1,1,7,47
514,"Deus é Brasileiro","24",,1,1,7,47
515,"Entre O Amor e A Razão","24",,1,1,7,47
516,"No Pagode","24",,1,1,7,47
517,"Deixa Clarear","24",,1,1,7,47
518,"Estrela Guia","24",,1,1,7,47
519,"Declaração de Amor","24",,1,1,7,47
520,"Nas Ondas do Partido","24",,1,1,7,47
521,"Nosso Ninho","24",,3,3,7,47
522,"Samba e Pagode 6","24",,1,1,7,47
523,"Tchuí-Tchuí","24",,1,1,7,47
524,"Mocidade Hits","24",,1,1,7,47
525,"Teste","24",0,1,1,1,22
526,"Teste II","24",0,1,0,1,27
