cod_interprete,interprete
2074,"Toke Divinal"
2075,"Agito 98"
2076,"Roda de Pagode"
2077,"Os Morenos"
2078,"Molejo"
2079,"Padang"
2080,"Curtsamba"
2081,"Malícia"
2082,"Zeca Pagodinho"
2083,"Samba Enredo 99"
2084,"Pega no Pagode"
2085,"Raça Pura"
2086,"Transa Samba"
2087,"Beth Carvalho"
2088,"Samba e Pagode"
2089,"Art Popular"
2090,"Gang do Samba"
2091,"Trasamba"
2092,"Os Morenos"
2093,"Shirley Carvalhaes"
2094,"Padre Marcelo Rossi"
2095,"Padre Marcelo Rossi"
2096,"Cid Moreira"
2097,"Cid Moreira"
2098,"Cid Moreira"
2099,"Cid Moreira"
2100,"Cid Moreira"
2101,"Cid Moreira"
2102,"Cid Moreira"
2103,"Cid Moreira"
2104,"Cid Moreira"
2105,"Cid Moreira"
2106,"Cid Moreira"
2107,"Cid Moreira"
2108,"Catedral"
2109,"Kim"
2110,"Gospel"
2111,"Álvaro Tito"
2112,"Cassiane"
2113,"Novo Som"
2114,"Julio Iglesias"
2115,"Madonna"
2116,"Queen"
2117,"Enya"
2118,"Enya"
2119,"Enya"
2120,"The Manhattan Transfer"
2121,"Paul McCartney"
2122,"Paul McCartney"
2123,"The Beatles"
2124,"Bee Gees"
2125,"Nat King Cole"
2126,"Mariah Carey"
2127,"Natalie Cole"
2128,"The Art Of Jazz"
2129,"The Art Of Jazz"
2130,"The Art Of Jazz"
2131,"The Art Of Jazz"
2132,"The Art Of Jazz"
2133,"Conway Twitty"
2134,"Gene Vincent"
2135,"Giants Of Rock'n'Roll"
2136,"Chicago"
2137,"Little Richard"
2138,"Duke Ellington"
2139,"Cruisin"
2140,"Muddy Waters"
2141,"George Benson"
2142,"Nina Simone"
2143,"Billy Ocean"
2144,"Elton John"
2145,"Bob Marley"
2146,"Rod Stewart"
2147,"Eric Clapton"
2148,"Eric Serra"
2149,"Sting"
2150,"Pink Floyd"
2151,"Bryan Adams"
2152,"Frank Sinatra"
2153,"A-Ha"
2154,"Phil Collins"
2155,"DJ's"
2156,"Placido Domingos"
2157,"Vangelis"
2158,"Vangelis"
2159,"Tears For Fears"
2160,"Tina Turner"
2161,"U2"
2162,"Freddie Mercury"
2163,"Mariah Carey"
2164,"Rolling Stone"
2165,"Tracy Chapman"
2166,"George Michael"
2167,"Freddie Mercury"
2168,"Diana Ross"
2169,"Diana Ross"
2170,"Cyndi Lauper"
2171,"Kenny G"
2172,"Pet Shop Boys"
2173,"Electronic Musical Instruments"
2174,"As Músicas Imortais do Cinema"
2175,"Steeleye Span"
2176,"Fats Waller"
2177,"Simply Red"
2178,"Prince"
2179,"The Beatles"
2180,"The Beatles"
2181,"Double You"
2182,"Madonna"
2183,"Sinéad O'connor"
2184,"Guns N'Roses"
2185,"Sade"
2186,"Barbra Streisand"
2187,"Forrest Gump"
2188,"Santana"
2189,"Culture Beat"
2190,"UB 40"
2191,"Santana"
2192,"Alpha Blondy"
2193,"Ray Conniff"
2194,"Ray Conniff"
2195,"Michael Jackson"
2196,"Nat King Cole"
2197,"Natalie Cole"
2198,"Prince"
2199,"Pret-a-Porter (O Filme)"
2200,"Prince"
2201,"Rock 'N' Roll"
2202,"Disco 95"
2203,"D.J. Bobo"
2204,"Michael Jackson e Diana Ross"
2205,"Kenny G"
2206,"Michael Jackson"
2207,"Frank Sinatra"
2208,"Elvis Presley"
2209,"D.J's Hits"
2210,"D.J's Parade"
2211,"Dire Straits"
2212,"Liza"
2213,"Christopher Cross"
2214,"INXS"
2215,"A Viagem (Novela)"
2216,"Whirtney Houston"
2217,"Richard Clayderman"
2218,"Elton John"
2219,"Frank Sinatra"
2220,"Rolling Stones"
2221,"Rolling Stones"
2222,"Stevie Wonder"
2223,"Unplugged Collection"
2224,"Rolling Stones"
2225,"Reggae"
2226,"Bob Marley And The Wailers"
2227,"Ramones"
2228,"Kitaro"
2229,"Kitaro"
2230,"UB 40"
2231,"Rolling Stones"
2232,"Eric Clapton"
2233,"Rod Stewart"
2234,"Sepultura"
2235,"Whitesnake"
2236,"Scorpions"
2237,"Para ser substituido por um recente"
2238,"The Cure"
2239,"Willie Nelson"
2240,"Van Halen"
2241,"Loreena Mickenitt"
2242,"Scorpions"
2243,"Luis Miguel"
2244,"Zamfir"
2245,"D.J. Bobo"
2246,"Midnight Oil"
2247,"Midnight Oil"
2248,"The Clash"
2249,"Reggae Hits"
2250,"Black Uauru"
2251,"John Lennon"
2252,"Maxi Dance"
2253,"Undercover"
2254,"Undercover"
2255,"Rush"
2256,"Pink Floyd"
2257,"Alpha Blondy"
2258,"Frank Sinatra"
2259,"Nirvana"
2260,"Freddie Mercury"
2261,"Dire Straits"
2262,"Prince"
2263,"Prince"
2264,"Ofra Haza"
2265,"Glória Stefan"
2266,"The Doors (O Filme)"
2267,"The Doors"
2268,"Eurythmics"
2269,"The Doors"
2270,"Jimi Hendrix"
2271,"Robson Vidal"
2272,"Top Surprise"
2273,"Jimmy Cliff"
2274,"DJ Shopping Dance Now"
2275,"Vitamina Club Hits"
2276,"Total Dance"
2277,"TV Hits - O Melhor Internacional de Novelas"
2278,"Temas Internacionais Com Sabor Latino"
2279,"Ray Conniff"
2280,"Paul Anka"
2281,"Donna Summer"
2282,"Tina Turner"
2283,"Gloryland"
2284,"Together"
2285,"Luther Vandross"
2286,"Grease"
2287,"Bob Dylan"
2288,"The Bootleg Series"
2289,"The Bootleg Series"
2290,"Black Beat"
2291,"Billie Holiday"
2292,"Ray Charles"
2293,"Louis Armstrong"
2294,"Ray Charles"
2295,"Night Feelings"
2296,"Jimi Hendrix"
2297,"Kenny Rogers"
2298,"Ella Fitzgerald"
2299,"Santana"
2300,"Audio News Jazz e Blues"
