cod_interprete,interprete
306,"Chiclete com Banana"
307,"Banda Eva"
308,"Chiclete com Banana"
309,"Bândabah"
310,"O Som Tropical do Brasil"
311,"Netinho"
312,"Simone Moreno"
313,"Margareth Menezes"
314,"Cheiro de Amor"
315,"Asa de Águia"
316,"Banda Reluz"
317,"Nando  Borges"
318,"Armandinho Dodô e Osmar"
319,"Bamda Mel"
320,"Zé Paulo"
321,"Ricardo Chaves"
322,"Pimenta N'ativa"
323,"Tonho Matéria"
324,"Timbalada"
325,"Banda Vinil"
326,"Banda Eva"
327,"Olodum"
328,"Banda Beijo"
329,"Netinho"
330,"Timbalada"
331,"Axé Bahia 96"
332,"Bândabah"
333,"Asa de Águia"
334,"Cheiro de Amor"
335,"Cheiro de Amor"
336,"Filhos de Gandhy"
337,"Papa Léguas"
338,"Ricardo Chaves"
339,"Salada de Frutas"
340,"Sarajane"
341,"Axé Band"
342,"Banda Mel"
343,"Banda Mel"
344,"Ju Medeiros"
345,"Olodum"
346,"Banda Mel"
347,"Bragadá"
348,"Carlinhos Brown"
349,"Jheremmias Não Bate Corner"
350,"Axé, Caê"
351,"Cheiro de Amor"
352,"Daniela Mercury"
353,"Jheremmias Não Bate Corner"
354,"Marcia Freire"
355,"Netinho"
356,"Chiclete com Banana"
357,"É O Tchan"
358,"Ara Ketu"
359,"Bamda Mel"
360,"Micareta"
361,"Jheremmias"
362,"Companhia do Pagode"
363,"Banda Eva"
364,"Olodum"
365,"Tonho Matéria"
366,"Asa de Águia"
367,"Osmar Macêdo"
368,"Pimenta Nativa"
369,"Zé Paulo"
370,"Banda Reflexu's"
371,"Axé Bahia"
372,"Jovem Pan"
373,"Chiclete com Banana"
374,"Banda Eva"
375,"Cheiro de Amor"
376,"Xexéu"
377,"Companhia do Pagode"
378,"Asa de Águia"
379,"Som Brasil"
380,"Boquinha da Garrafa"
381,"Bamda Mel"
382,"Timbalada"
383,"É o Tchan"
384,"Axé Band"
385,"Tonho Metéria"
386,"Netinho"
387,"Ara Ketu"
388,"Timbalada"
389,"Netinho"
390,"Olodum"
391,"Jammil e Uma Noites"
392,"Asa de Águia"
393,"Ricardo Chaves"
394,"Márcia Freire"
395,"Bragadá"
396,"Pimenta Nativa"
397,"Axé Bahia"
398,"Cheiro de Amor"
399,"Cheiro de Amor"
400,"Companhia do Pagode"
401,"Chiclete com Banana"
402,"Jorge de Altinho"
403,"Xamego de Menina"
404,"Mastruz com Leite"
405,"Sambas Enredo de Sempre"
406,"Clara Nunes"
407,"Emílio Santiago"
408,"Emílio Santiago"
409,"Razão Brasileira"
410,"Banda Brasil"
411,"Sambas Enredo 95"
412,"Negritude Junior"
413,"Fundo de Quintal"
414,"Grupo Raça"
